district_id,state_id,female_housereps,name
1,1,0,Alabama
2,1,1,Alabama
3,1,0,Alabama
4,1,0,Alabama
5,1,0,Alabama
6,1,0,Alabama
7,1,1,Alabama
0,2,0,Alaska
1,4,0,Arizona
2,4,1,Arizona
3,4,0,Arizona
4,4,0,Arizona
5,4,0,Arizona
6,4,0,Arizona
7,4,0,Arizona
8,4,0,Arizona
9,4,1,Arizona
1,5,0,Arkansas
2,5,0,Arkansas
3,5,0,Arkansas
4,5,0,Arkansas
1,6,0,California
2,6,0,California
3,6,0,California
4,6,0,California
5,6,0,California
6,6,1,California
7,6,0,California
8,6,0,California
9,6,0,California
10,6,0,California
11,6,0,California
12,6,1,California
13,6,1,California
14,6,1,California
15,6,0,California
16,6,0,California
17,6,0,California
18,6,1,California
19,6,1,California
20,6,0,California
21,6,0,California
22,6,0,California
23,6,0,California
24,6,0,California
25,6,0,California
26,6,1,California
27,6,1,California
28,6,0,California
29,6,0,California
30,6,0,California
31,6,0,California
32,6,1,California
33,6,0,California
34,6,0,California
35,6,1,California
36,6,0,California
37,6,1,California
38,6,1,California
39,6,0,California
40,6,1,California
41,6,0,California
42,6,0,California
43,6,1,California
44,6,0,California
45,6,1,California
46,6,0,California
47,6,0,California
48,6,1,California
49,6,0,California
50,6,0,California
51,6,0,California
52,6,0,California
53,6,0,California
1,8,1,Colorado
2,8,0,Colorado
3,8,0,Colorado
4,8,0,Colorado
5,8,0,Colorado
6,8,0,Colorado
7,8,0,Colorado
1,9,0,Conneticut
2,9,0,Conneticut
3,9,1,Conneticut
4,9,1,Conneticut
5,9,0,Conneticut
0,10,0,Delaware
1,12,0,Florida
2,12,0,Florida
3,12,0,Florida
4,12,0,Florida
5,12,0,Florida
6,12,0,Florida
7,12,0,Florida
8,12,0,Florida
9,12,0,Florida
10,12,0,Florida
11,12,0,Florida
12,12,0,Florida
13,12,0,Florida
14,12,1,Florida
15,12,0,Florida
16,12,0,Florida
17,12,0,Florida
18,12,0,Florida
19,12,0,Florida
20,12,0,Florida
21,12,0,Florida
22,12,0,Florida
23,12,1,Florida
24,12,1,Florida
25,12,0,Florida
26,12,0,Florida
27,12,1,Florida
1,13,0,Georgia
2,13,0,Georgia
3,13,0,Georgia
4,13,0,Georgia
5,13,0,Georgia
6,13,0,Georgia
7,13,0,Georgia
8,13,0,Georgia
9,13,0,Georgia
10,13,0,Georgia
11,13,0,Georgia
12,13,0,Georgia
13,13,0,Georgia
14,13,0,Georgia
1,15,0,Hawaii
2,15,1,Hawaii
1,16,0,Idaho
2,16,0,Idaho
1,17,0,Illinois
2,17,1,Illinois
3,17,0,Illinois
4,17,0,Illinois
5,17,0,Illinois
6,17,0,Illinois
7,17,0,Illinois
8,17,0,Illinois
9,17,0,Illinois
10,17,0,Illinois
11,17,0,Illinois
12,17,0,Illinois
13,17,0,Illinois
14,17,0,Illinois
15,17,0,Illinois
16,17,0,Illinois
17,17,1,Illinois
18,17,0,Illinois
1,18,0,Indiana
2,18,1,Indiana
3,18,0,Indiana
4,18,0,Indiana
5,18,1,Indiana
6,18,0,Indiana
7,18,0,Indiana
8,18,0,Indiana
9,18,0,Indiana
1,19,0,Iowa
2,19,0,Iowa
3,19,0,Iowa
4,19,0,Iowa
1,20,0,Kansas
2,20,1,Kansas
3,20,0,Kansas
4,20,0,Kansas
1,21,0,Kentucky
2,21,0,Kentucky
3,21,0,Kentucky
4,21,0,Kentucky
5,21,0,Kentucky
6,21,0,Kentucky
1,22,0,Louisiana
2,22,0,Louisiana
3,22,0,Louisiana
4,22,0,Louisiana
5,22,0,Louisiana
6,22,0,Louisiana
1,23,1,Maine
2,23,0,Maine
1,24,0,Maryland
2,24,0,Maryland
3,24,0,Maryland
4,24,0,Maryland
5,24,0,Maryland
6,24,0,Maryland
7,24,0,Maryland
8,24,0,Maryland
1,25,0,Massachusetts
2,25,0,Massachusetts
3,25,1,Massachusetts
4,25,0,Massachusetts
5,25,1,Massachusetts
6,25,0,Massachusetts
7,25,0,Massachusetts
8,25,0,Massachusetts
9,25,0,Massachusetts
1,26,0,Michigan
2,26,0,Michigan
3,26,0,Michigan
4,26,0,Michigan
5,26,0,Michigan
6,26,0,Michigan
7,26,0,Michigan
8,26,0,Michigan
9,26,0,Michigan
10,26,0,Michigan
11,26,0,Michigan
12,26,1,Michigan
13,26,0,Michigan
14,26,1,Michigan
1,27,0,Minnesota
2,27,0,Minnesota
3,27,0,Minnesota
4,27,1,Minnesota
5,27,0,Minnesota
6,27,0,Minnesota
7,27,0,Minnesota
8,27,0,Minnesota
1,28,0,Mississippi
2,28,0,Mississippi
3,28,0,Mississippi
4,28,0,Mississippi
1,29,0,Missouri
2,29,1,Missouri
3,29,0,Missouri
4,29,1,Missouri
5,29,0,Missouri
6,29,0,Missouri
7,29,0,Missouri
8,29,0,Missouri
0,30,0,Montana
1,31,0,Nebraska
2,31,0,Nebraska
3,31,0,Nebraska
1,32,1,Nevada
2,32,0,Nevada
3,32,0,Nevada
4,32,0,Nevada
1,33,0,NewHampshire
2,33,1,NewHampshire
1,34,0,NewJersey
2,34,0,NewJersey
3,34,0,NewJersey
4,34,0,NewJersey
5,34,0,NewJersey
6,34,0,NewJersey
7,34,0,NewJersey
8,34,0,NewJersey
9,34,0,NewJersey
10,34,0,NewJersey
11,34,0,NewJersey
12,34,1,NewJersey
1,35,1,NewMexico
2,35,0,NewMexico
3,35,0,NewMexico
1,36,0,NewYork
2,36,0,NewYork
3,36,0,NewYork
4,36,1,NewYork
5,36,0,NewYork
6,36,1,NewYork
7,36,1,NewYork
8,36,0,NewYork
9,36,1,NewYork
10,36,0,NewYork
11,36,0,NewYork
12,36,1,NewYork
13,36,0,NewYork
14,36,0,NewYork
15,36,0,NewYork
16,36,0,NewYork
17,36,1,NewYork
18,36,0,NewYork
19,36,0,NewYork
20,36,0,NewYork
21,36,1,NewYork
22,36,0,NewYork
23,36,0,NewYork
24,36,0,NewYork
25,36,1,NewYork
26,36,0,NewYork
27,36,0,NewYork
1,37,0,NorthCarolina
2,37,0,NorthCarolina
3,37,0,NorthCarolina
4,37,0,NorthCarolina
5,37,1,NorthCarolina
6,37,0,NorthCarolina
7,37,0,NorthCarolina
8,37,0,NorthCarolina
9,37,0,NorthCarolina
10,37,0,NorthCarolina
11,37,0,NorthCarolina
12,37,1,NorthCarolina
13,37,0,NorthCarolina
0,38,0,NorthDakota
1,39,0,Ohio
2,39,0,Ohio
3,39,1,Ohio
4,39,0,Ohio
5,39,0,Ohio
6,39,0,Ohio
7,39,0,Ohio
8,39,0,Ohio
9,39,1,Ohio
10,39,0,Ohio
11,39,1,Ohio
12,39,0,Ohio
13,39,0,Ohio
14,39,0,Ohio
15,39,0,Ohio
16,39,0,Ohio
1,40,0,Oklahoma
2,40,0,Oklahoma
3,40,0,Oklahoma
4,40,0,Oklahoma
5,40,0,Oklahoma
1,41,1,Oregon
2,41,0,Oregon
3,41,0,Oregon
4,41,0,Oregon
5,41,0,Oregon
1,42,0,Pennsylvania
2,42,0,Pennsylvania
3,42,0,Pennsylvania
4,42,0,Pennsylvania
5,42,0,Pennsylvania
6,42,0,Pennsylvania
7,42,0,Pennsylvania
8,42,0,Pennsylvania
9,42,0,Pennsylvania
10,42,0,Pennsylvania
11,42,0,Pennsylvania
12,42,0,Pennsylvania
13,42,0,Pennsylvania
14,42,0,Pennsylvania
15,42,0,Pennsylvania
16,42,0,Pennsylvania
17,42,0,Pennsylvania
18,42,0,Pennsylvania
1,44,0,RhodeIsland
2,44,0,RhodeIsland
1,45,0,SouthCarolina
2,45,0,SouthCarolina
3,45,0,SouthCarolina
4,45,0,SouthCarolina
5,45,0,SouthCarolina
6,45,0,SouthCarolina
7,45,0,SouthCarolina
0,46,1,SouthDakota
1,47,0,Tennessee
2,47,0,Tennessee
3,47,0,Tennessee
4,47,0,Tennessee
5,47,0,Tennessee
6,47,1,Tennessee
7,47,1,Tennessee
8,47,0,Tennessee
9,47,0,Tennessee
1,48,0,Texas
2,48,0,Texas
3,48,0,Texas
4,48,0,Texas
5,48,0,Texas
6,48,0,Texas
7,48,0,Texas
8,48,0,Texas
9,48,0,Texas
10,48,0,Texas
11,48,0,Texas
12,48,1,Texas
13,48,0,Texas
14,48,0,Texas
15,48,0,Texas
16,48,0,Texas
17,48,0,Texas
18,48,1,Texas
19,48,0,Texas
20,48,0,Texas
21,48,0,Texas
22,48,0,Texas
23,48,0,Texas
24,48,0,Texas
25,48,0,Texas
26,48,0,Texas
27,48,0,Texas
28,48,0,Texas
29,48,0,Texas
30,48,1,Texas
31,48,0,Texas
32,48,0,Texas
33,48,0,Texas
34,48,0,Texas
35,48,0,Texas
36,48,0,Texas
1,49,0,Utah
2,49,0,Utah
3,49,0,Utah
4,49,1,Utah
0,50,0,Vermont
1,51,0,Virginia
2,51,0,Virginia
3,51,0,Virginia
4,51,0,Virginia
5,51,0,Virginia
6,51,0,Virginia
7,51,0,Virginia
8,51,0,Virginia
9,51,0,Virginia
10,51,1,Virginia
11,51,0,Virginia
1,53,1,Washington
2,53,0,Washington
3,53,1,Washington
4,53,0,Washington
5,53,1,Washington
6,53,0,Washington
7,53,0,Washington
8,53,0,Washington
