B24020_153E,state,congressional district
90449,01,01
88761,01,02
91655,01,03
78926,01,04
94547,01,05
103376,01,06
87113,01,07
96152,02,00
77301,04,01
88470,04,02
90811,04,03
72512,04,04
107641,04,05
110510,04,06
95245,04,07
107954,04,08
123086,04,09
86625,05,01
112209,05,02
108922,05,03
88949,05,04
70407,06,01
82596,06,02
84657,06,03
82797,06,04
98683,06,05
101458,06,06
103455,06,07
71774,06,08
79929,06,09
76852,06,10
100468,06,11
140541,06,12
112454,06,13
115467,06,14
114915,06,15
61792,06,16
112567,06,17
108051,06,18
101815,06,19
75852,06,20
,06,21
85530,06,22
82156,06,23
85865,06,24
87133,06,25
92698,06,26
112963,06,27
115488,06,28
89893,06,29
116378,06,30
88610,06,31
97519,06,32
102113,06,33
100796,06,34
89873,06,35
68775,06,36
108470,06,37
101539,06,38
94005,06,39
84819,06,40
82608,06,41
86921,06,42
102313,06,43
85295,06,44
103076,06,45
96866,06,46
100949,06,47
103810,06,48
90694,06,49
89637,06,50
70309,06,51
109999,06,52
111177,06,53
135228,08,01
109758,08,02
94506,08,03
105206,08,04
96330,08,05
124104,08,06
123843,08,07
114923,09,01
98886,09,02
108772,09,03
102783,09,04
101336,09,05
145811,10,00
131323,11,98
100509,12,01
93351,12,02
87280,12,03
122924,12,04
108629,12,05
91495,12,06
113553,12,07
95437,12,08
115990,12,09
117222,12,10
72186,12,11
107449,12,12
112443,12,13
119997,12,14
107147,12,15
99455,12,16
81293,12,17
100061,12,18
95016,12,19
109127,12,20
109425,12,21
101954,12,22
113503,12,23
114170,12,24
108435,12,25
120925,12,26
109905,12,27
95989,13,01
86951,13,02
93877,13,03
120383,13,04
132069,13,05
116342,13,06
115612,13,07
92621,13,08
91171,13,09
91853,13,10
116843,13,11
93380,13,12
124445,13,13
99912,13,14
112064,15,01
101913,15,02
100220,16,01
92439,16,02
96239,17,01
96806,17,02
100949,17,03
96367,17,04
140980,17,05
105901,17,06
117856,17,07
106693,17,08
103997,17,09
103392,17,10
105970,17,11
94171,17,12
95907,17,13
107009,17,14
94559,17,15
89481,17,16
91479,17,17
102947,17,18
85964,18,01
92446,18,02
100587,18,03
104041,18,04
123103,18,05
97472,18,06
110136,18,07
96248,18,08
103262,18,09
117804,19,01
112626,19,02
135166,19,03
