B24020_002E,state,congressional district
112461,01,01
110112,01,02
117561,01,03
118323,01,04
133851,01,05
139228,01,06
95817,01,07
129431,02,00
100836,04,01
109813,04,02
124353,04,03
101683,04,04
156225,04,05
147669,04,06
134796,04,07
128011,04,08
166471,04,09
112446,05,01
137836,05,02
149916,05,03
111253,05,04
98885,06,01
118427,06,02
114002,06,03
115878,06,04
128314,06,05
120392,06,06
124905,06,07
96418,06,08
121283,06,09
122844,06,10
139808,06,11
180285,06,12
139975,06,13
155685,06,14
166706,06,15
105455,06,16
181398,06,17
153221,06,18
155752,06,19
115640,06,20
,06,21
117728,06,22
128421,06,23
132722,06,24
136165,06,25
133453,06,26
135615,06,27
148579,06,28
137799,06,29
160467,06,30
123232,06,31
143528,06,32
143147,06,33
145631,06,34
131787,06,35
108885,06,36
138925,06,37
144797,06,38
143309,06,39
134749,06,40
134725,06,41
142619,06,42
128886,06,43
122442,06,44
164492,06,45
148914,06,46
135212,06,47
145311,06,48
147366,06,49
141392,06,50
100119,06,51
152234,06,52
147658,06,53
183390,08,01
163553,08,02
128981,08,03
170214,08,04
135225,08,05
170619,08,06
168885,08,07
137136,09,01
133651,09,02
139160,09,03
143169,09,04
135914,09,05
167820,10,00
136570,11,98
128085,12,01
106935,12,02
107921,12,03
144495,12,04
112904,12,05
116981,12,06
140049,12,07
117934,12,08
149179,12,09
146355,12,10
84850,12,11
126021,12,12
130137,12,13
136605,12,14
136832,12,15
112622,12,16
109067,12,17
125413,12,18
116309,12,19
120179,12,20
134742,12,21
144008,12,22
153716,12,23
125616,12,24
141142,12,25
160234,12,26
152221,12,27
115975,13,01
93116,13,02
126108,13,03
124287,13,04
135058,13,05
169499,13,06
165655,13,07
118780,13,08
124144,13,09
122932,13,10
160135,13,11
108972,13,12
132645,13,13
134053,13,14
139405,15,01
124953,15,02
145575,16,01
149322,16,02
103199,17,01
104953,17,02
138525,17,03
149518,17,04
178530,17,05
159756,17,06
118269,17,07
163677,17,08
148892,17,09
144116,17,10
152653,17,11
114149,17,12
119107,17,13
159471,17,14
128672,17,15
131171,17,16
119070,17,17
139038,17,18
126149,18,01
136193,18,02
144623,18,03
149010,18,04
157462,18,05
137681,18,06
121762,18,07
136674,18,08
142073,18,09
160113,19,01
155410,19,02
174308,19,03
154805,19,04
143037,20,01
129905,20,02
163915,20,03
143558,20,04
117791,21,01
133865,21,02
136883,21,03
142967,21,04
89503,21,05
143415,21,06
152494,22,01
134802,22,02
139389,22,03
112854,22,04
111162,22,05
154375,22,06
127646,23,01
108244,23,02
147424,24,01
142786,24,02
160928,24,03
151878,24,04
159038,24,05
156131,24,06
124491,24,07
163266,24,08
126681,25,01
136889,25,02
149192,25,03
151709,25,04
162977,25,05
152165,25,06
149967,25,07
158677,25,08
130666,25,09
108352,26,01
132242,26,02
140365,26,03
116022,26,04
99323,26,05
128321,26,06
126691,26,07
140678,26,08
139939,26,09
134588,26,10
154273,26,11
128539,26,12
85927,26,13
97131,26,14
136564,27,01
150023,27,02
154948,27,03
132569,27,04
142927,27,05
149205,27,06
134480,27,07
116679,27,08
131716,28,01
97309,28,02
132017,28,03
119643,28,04
124111,29,01
164868,29,02
156332,29,03
127019,29,04
148957,29,05
149243,29,06
139467,29,07
118606,29,08
191620,30,00
136202,31,01
140807,31,02
132144,31,03
125765,32,01
128664,32,02
147681,32,03
118930,32,04
139584,33,01
138200,33,02
139259,34,01
126572,34,02
132767,34,03
138180,34,04
159036,34,05
153863,34,06
161136,34,07
177861,34,08
151484,34,09
131649,34,10
155640,34,11
147893,34,12
121575,35,01
111703,35,02
112702,35,03
145225,36,01
147500,36,02
147860,36,03
147355,36,04
141811,36,05
147437,36,06
143685,36,07
122319,36,08
128355,36,09
155522,36,10
134103,36,11
184959,36,12
132038,36,13
154616,36,14
104191,36,15
132152,36,16
139785,36,17
135328,36,18
124352,36,19
139239,36,20
115902,36,21
120854,36,22
118070,36,23
122900,36,24
129614,36,25
120174,36,26
143700,36,27
108480,37,01
142111,37,02
115552,37,03
156193,37,04
140682,37,05
136897,37,06
128786,37,07
130400,37,08
177798,37,09
131658,37,10
120946,37,11
145987,37,12
161302,37,13
166804,38,00
134525,39,01
142755,39,02
137091,39,03
135769,39,04
143751,39,05
118902,39,06
142561,39,07
136557,39,08
117551,39,09
127055,39,10
101131,39,11
157984,39,12
122860,39,13
148136,39,14
145136,39,15
145874,39,16
165788,40,01
120158,40,02
148926,40,03
152119,40,04
154352,40,05
164632,41,01
125533,41,02
156914,41,03
116874,41,04
143414,41,05
118652,42,01
102639,42,02
127173,42,03
145588,42,04
124355,42,05
157553,42,06
146790,42,07
149243,42,08
124730,42,09
130879,42,10
133432,42,11
134021,42,12
132596,42,13
132541,42,14
143489,42,15
142123,42,16
124150,42,17
147181,42,18
92378,44,01
101690,44,02
148006,45,01
131838,45,02
114575,45,03
131539,45,04
121898,45,05
96313,45,06
107585,45,07
180570,46,00
118548,47,01
134655,47,02
126201,47,03
145051,47,04
154701,47,05
135915,47,06
130899,47,07
129571,47,08
111715,47,09
120521,48,01
179907,48,02
193682,48,03
133652,48,04
135051,48,05
147785,48,06
183920,48,07
154580,48,08
153711,48,09
178234,48,10
153835,48,11
160307,48,12
138390,48,13
141048,48,14
117815,48,15
122913,48,16
139933,48,17
143399,48,18
134519,48,19
141751,48,20
160104,48,21
187754,48,22
133581,48,23
193348,48,24
146241,48,25
184129,48,26
142124,48,27
118543,48,28
159937,48,29
135819,48,30
161138,48,31
169496,48,32
153855,48,33
108002,48,34
165567,48,35
146472,48,36
145654,49,01
142703,49,02
135677,49,03
160075,49,04
118995,50,00
151100,51,01
136169,51,02
110536,51,03
134479,51,04
127592,51,05
132947,51,06
160066,51,07
186894,51,08
117998,51,09
183913,51,10
173788,51,11
157249,53,01
140861,53,02
128497,53,03
127608,53,04
110243,53,05
109095,53,06
174507,53,07
153021,53,08
151939,53,09
125743,53,10
105649,54,01
112060,54,02
78814,54,03
140187,55,01
156796,55,02
137322,55,03
116090,55,04
159298,55,05
148554,55,06
141621,55,07
153683,55,08
124728,56,00
360259,72,98
