B24020_163E,state,congressional district
4611,01,01
4692,01,02
5745,01,03
2849,01,04
5199,01,05
5360,01,06
4677,01,07
7304,02,00
4887,04,01
6017,04,02
4665,04,03
5125,04,04
6460,04,05
7715,04,06
4271,04,07
7449,04,08
9233,04,09
4503,05,01
8375,05,02
6063,05,03
5400,05,04
5118,06,01
7484,06,02
6453,06,03
8576,06,04
7181,06,05
6631,06,06
7095,06,07
3200,06,08
5666,06,09
3389,06,10
9747,06,11
14682,06,12
10664,06,13
9940,06,14
8356,06,15
2829,06,16
6703,06,17
12699,06,18
9344,06,19
4594,06,20
,06,21
6211,06,22
4683,06,23
6186,06,24
5950,06,25
7712,06,26
9655,06,27
8761,06,28
4575,06,29
9829,06,30
4961,06,31
5910,06,32
10957,06,33
5468,06,34
4846,06,35
2835,06,36
8556,06,37
5440,06,38
7312,06,39
3306,06,40
3791,06,41
5367,06,42
5834,06,43
3742,06,44
10989,06,45
5403,06,46
6837,06,47
9393,06,48
7207,06,49
5999,06,50
2939,06,51
9705,06,52
10494,06,53
12084,08,01
9315,08,02
8253,08,03
8387,08,04
7535,08,05
9458,08,06
8454,08,07
9138,09,01
7107,09,02
8024,09,03
6226,09,04
7156,09,05
11299,10,00
17170,11,98
6426,12,01
6064,12,02
5876,12,03
8078,12,04
4924,12,05
6626,12,06
7284,12,07
8170,12,08
7499,12,09
12090,12,10
4322,12,11
8278,12,12
7478,12,13
6392,12,14
6007,12,15
6701,12,16
4057,12,17
7939,12,18
5740,12,19
5229,12,20
7523,12,21
8132,12,22
8779,12,23
5702,12,24
6223,12,25
8127,12,26
6884,12,27
6839,13,01
4971,13,02
5454,13,03
6768,13,04
11185,13,05
10693,13,06
9609,13,07
5302,13,08
3889,13,09
5149,13,10
12225,13,11
5169,13,12
9055,13,13
5379,13,14
7474,15,01
6010,15,02
5646,16,01
6316,16,02
6223,17,01
6936,17,02
5204,17,03
5138,17,04
11112,17,05
8304,17,06
8935,17,07
5784,17,08
7584,17,09
6023,17,10
7594,17,11
7250,17,12
6737,17,13
8698,17,14
4362,17,15
5469,17,16
3294,17,17
6585,17,18
5356,18,01
4177,18,02
4902,18,03
6783,18,04
10723,18,05
5680,18,06
8031,18,07
5047,18,08
7394,18,09
6721,19,01
7033,19,02
7952,19,03
4852,19,04
6311,20,01
6723,20,02
8008,20,03
5474,20,04
4591,21,01
4714,21,02
6229,21,03
6216,21,04
2890,21,05
6740,21,06
8090,22,01
8138,22,02
6280,22,03
6342,22,04
5862,22,05
9644,22,06
9415,23,01
5084,23,02
7494,24,01
9198,24,02
11409,24,03
10222,24,04
10476,24,05
8778,24,06
9813,24,07
12763,24,08
5353,25,01
8186,25,02
8726,25,03
9549,25,04
14053,25,05
9242,25,06
12810,25,07
13560,25,08
7790,25,09
5094,26,01
3316,26,02
5802,26,03
4824,26,04
5112,26,05
6680,26,06
5271,26,07
6992,26,08
7711,26,09
4743,26,10
7792,26,11
5757,26,12
4071,26,13
4996,26,14
4890,27,01
7049,27,02
9085,27,03
8162,27,04
10733,27,05
6502,27,06
4847,27,07
4801,27,08
4729,28,01
4740,28,02
4682,28,03
5228,28,04
6352,29,01
9828,29,02
7004,29,03
6379,29,04
8119,29,05
7368,29,06
6124,29,07
4633,29,08
11176,30,00
5620,31,01
7577,31,02
4500,31,03
4440,32,01
5790,32,02
7218,32,03
4628,32,04
8546,33,01
7226,33,02
8607,34,01
5993,34,02
5946,34,03
7295,34,04
10798,34,05
6810,34,06
10674,34,07
6444,34,08
8052,34,09
5340,34,10
9585,34,11
8476,34,12
7166,35,01
3162,35,02
6310,35,03
5400,36,01
6238,36,02
7211,36,03
7642,36,04
6457,36,05
7713,36,06
6542,36,07
6893,36,08
