B24020_012E,state,congressional district
7834,01,01
6119,01,02
7251,01,03
6547,01,04
10331,01,05
8747,01,06
5913,01,07
10168,02,00
6237,04,01
8613,04,02
5498,04,03
6526,04,04
12467,04,05
11555,04,06
5139,04,07
9165,04,08
10665,04,09
4873,05,01
10318,05,02
9150,05,03
6413,05,04
6909,06,01
12586,06,02
6407,06,03
10149,06,04
8023,06,05
6613,06,06
10766,06,07
6056,06,08
7635,06,09
7481,06,10
12317,06,11
16051,06,12
12083,06,13
12886,06,14
14075,06,15
3515,06,16
16131,06,17
20523,06,18
14000,06,19
8947,06,20
,06,21
6976,06,22
8344,06,23
11681,06,24
11256,06,25
10929,06,26
12082,06,27
14491,06,28
6577,06,29
15185,06,30
6799,06,31
6754,06,32
15622,06,33
6930,06,34
5211,06,35
5892,06,36
9335,06,37
8235,06,38
14576,06,39
4063,06,40
5407,06,41
12717,06,42
8559,06,43
4581,06,44
17387,06,45
6027,06,46
10614,06,47
13714,06,48
13357,06,49
10696,06,50
3897,06,51
17209,06,52
13087,06,53
17400,08,01
17127,08,02
11188,08,03
13484,08,04
10626,08,05
13656,08,06
14515,08,07
10721,09,01
11516,09,02
10698,09,03
10460,09,04
9948,09,05
15313,10,00
16254,11,98
11851,12,01
8538,12,02
7595,12,03
10119,12,04
6766,12,05
9833,12,06
12736,12,07
9300,12,08
9770,12,09
12717,12,10
6448,12,11
14260,12,12
10473,12,13
10185,12,14
8937,12,15
9247,12,16
6225,12,17
9927,12,18
8445,12,19
5123,12,20
11619,12,21
13837,12,22
13638,12,23
6721,12,24
10785,12,25
11889,12,26
10681,12,27
8776,13,01
4588,13,02
8286,13,03
8360,13,04
11524,13,05
18213,13,06
12881,13,07
7020,13,08
8730,13,09
9098,13,10
15216,13,11
6105,13,12
7960,13,13
7467,13,14
10070,15,01
6368,15,02
10370,16,01
8677,16,02
5910,17,01
6311,17,02
8058,17,03
6423,17,04
14542,17,05
15880,17,06
9659,17,07
10734,17,08
12926,17,09
12760,17,10
10608,17,11
7081,17,12
7830,17,13
13428,17,14
7006,17,15
8394,17,16
5093,17,17
9180,17,18
8517,18,01
7179,18,02
7051,18,03
7961,18,04
13917,18,05
7257,18,06
8560,18,07
6436,18,08
10349,18,09
9454,19,01
10722,19,02
11180,19,03
6567,19,04
7943,20,01
7507,20,02
12381,20,03
8185,20,04
6083,21,01
6362,21,02
10884,21,03
9611,21,04
4841,21,05
9939,21,06
11208,22,01
7311,22,02
7984,22,03
6615,22,04
6186,22,05
10857,22,06
9903,23,01
7485,23,02
12607,24,01
11112,24,02
15765,24,03
10759,24,04
13034,24,05
14352,24,06
9060,24,07
16343,24,08
8836,25,01
11091,25,02
12170,25,03
12433,25,04
13190,25,05
12367,25,06
7899,25,07
10456,25,08
12173,25,09
6850,26,01
8033,26,02
9169,26,03
7330,26,04
6287,26,05
9632,26,06
8290,26,07
11473,26,08
8917,26,09
10348,26,10
16294,26,11
8392,26,12
3630,26,13
7409,26,14
8867,27,01
13135,27,02
14894,27,03
10841,27,04
10861,27,05
11471,27,06
8773,27,07
7921,27,08
7583,28,01
5896,28,02
9691,28,03
6980,28,04
7984,29,01
13747,29,02
8222,29,03
8013,29,04
8617,29,05
7870,29,06
9391,29,07
5886,29,08
15622,30,00
9378,31,01
9880,31,02
5912,31,03
5663,32,01
8573,32,02
11775,32,03
7215,32,04
10921,33,01
11846,33,02
10755,34,01
10292,34,02
8887,34,03
12530,34,04
14636,34,05
11714,34,06
15320,34,07
9692,34,08
13274,34,09
6257,34,10
17882,34,11
13928,34,12
9534,35,01
5748,35,02
8247,35,03
13203,36,01
10800,36,02
15110,36,03
12129,36,04
7768,36,05
8695,36,06
8921,36,07
7673,36,08
10316,36,09
15102,36,10
9568,36,11
17594,36,12
8605,36,13
10294,36,14
4892,36,15
9575,36,16
11309,36,17
9413,36,18
8073,36,19
11582,36,20
6653,36,21
6954,36,22
7317,36,23
9228,36,24
9900,36,25
9568,36,26
11426,36,27
6669,37,01
10504,37,02
9555,37,03
10786,37,04
9238,37,05
9753,37,06
8557,37,07
9506,37,08
18488,37,09
7371,37,10
7958,37,11
8827,37,12
15293,37,13
10292,38,00
10806,39,01
9266,39,02
9801,39,03
9512,39,04
8006,39,05
5964,39,06
7110,39,07
9245,39,08
6876,39,09
9380,39,10
6918,39,11
14423,39,12
6561,39,13
12316,39,14
10933,39,15
11993,39,16
12225,40,01
7331,40,02
10421,40,03
12743,40,04
11924,40,05
14953,41,01
8931,41,02
11319,41,03
8068,41,04
10349,41,05
6917,42,01
6589,42,02
8136,42,03
9855,42,04
7301,42,05
13492,42,06
16372,42,07
13922,42,08
6864,42,09
7617,42,10
8617,42,11
10293,42,12
8535,42,13
8294,42,14
8867,42,15
9877,42,16
6915,42,17
12186,42,18
7370,44,01
7026,44,02
12138,45,01
12082,45,02
6740,45,03
8511,45,04
5396,45,05
4086,45,06
7793,45,07
9795,46,00
8493,47,01
9432,47,02
8732,47,03
9024,47,04
9627,47,05
9796,47,06
9989,47,07
