group_id,female,manager,population,district_id,state_name
1,f,f,112461,1,Alabama
2,f,f,110112,2,Alabama
3,f,f,117561,3,Alabama
4,f,f,118323,4,Alabama
5,f,f,133851,5,Alabama
6,f,f,139228,6,Alabama
7,f,f,95817,7,Alabama
436,f,t,7834,1,Alabama
437,f,t,6119,2,Alabama
438,f,t,7251,3,Alabama
439,f,t,6547,4,Alabama
440,f,t,10331,5,Alabama
441,f,t,8747,6,Alabama
442,f,t,5913,7,Alabama
871,t,f,90449,1,Alabama
872,t,f,88761,2,Alabama
873,t,f,91655,3,Alabama
874,t,f,78926,4,Alabama
875,t,f,94547,5,Alabama
876,t,f,103376,6,Alabama
877,t,f,87113,7,Alabama
1306,t,t,4611,1,Alabama
1307,t,t,4692,2,Alabama
1308,t,t,5745,3,Alabama
1309,t,t,2849,4,Alabama
1310,t,t,5199,5,Alabama
1311,t,t,5360,6,Alabama
1312,t,t,4677,7,Alabama
8,f,f,129431,0,Alaska
443,f,t,10168,0,Alaska
878,t,f,96152,0,Alaska
1313,t,t,7304,0,Alaska
9,f,f,100836,1,Arizona
10,f,f,109813,2,Arizona
11,f,f,124353,3,Arizona
12,f,f,101683,4,Arizona
13,f,f,156225,5,Arizona
14,f,f,147669,6,Arizona
15,f,f,134796,7,Arizona
16,f,f,128011,8,Arizona
17,f,f,166471,9,Arizona
444,f,t,6237,1,Arizona
445,f,t,8613,2,Arizona
446,f,t,5498,3,Arizona
447,f,t,6526,4,Arizona
448,f,t,12467,5,Arizona
449,f,t,11555,6,Arizona
450,f,t,5139,7,Arizona
451,f,t,9165,8,Arizona
452,f,t,10665,9,Arizona
879,t,f,77301,1,Arizona
880,t,f,88470,2,Arizona
881,t,f,90811,3,Arizona
882,t,f,72512,4,Arizona
883,t,f,107641,5,Arizona
884,t,f,110510,6,Arizona
885,t,f,95245,7,Arizona
886,t,f,107954,8,Arizona
887,t,f,123086,9,Arizona
1314,t,t,4887,1,Arizona
1315,t,t,6017,2,Arizona
1316,t,t,4665,3,Arizona
1317,t,t,5125,4,Arizona
1318,t,t,6460,5,Arizona
1319,t,t,7715,6,Arizona
1320,t,t,4271,7,Arizona
1321,t,t,7449,8,Arizona
1322,t,t,9233,9,Arizona
18,f,f,112446,1,Arkansas
19,f,f,137836,2,Arkansas
20,f,f,149916,3,Arkansas
21,f,f,111253,4,Arkansas
453,f,t,4873,1,Arkansas
454,f,t,10318,2,Arkansas
455,f,t,9150,3,Arkansas
456,f,t,6413,4,Arkansas
888,t,f,86625,1,Arkansas
889,t,f,112209,2,Arkansas
890,t,f,108922,3,Arkansas
891,t,f,88949,4,Arkansas
1323,t,t,4503,1,Arkansas
1324,t,t,8375,2,Arkansas
1325,t,t,6063,3,Arkansas
1326,t,t,5400,4,Arkansas
22,f,f,98885,1,California
23,f,f,118427,2,California
24,f,f,114002,3,California
25,f,f,115878,4,California
26,f,f,128314,5,California
27,f,f,120392,6,California
28,f,f,124905,7,California
29,f,f,96418,8,California
30,f,f,121283,9,California
31,f,f,122844,10,California
32,f,f,139808,11,California
33,f,f,180285,12,California
34,f,f,139975,13,California
35,f,f,155685,14,California
36,f,f,166706,15,California
37,f,f,105455,16,California
38,f,f,181398,17,California
39,f,f,153221,18,California
40,f,f,155752,19,California
